gid,land_type,reason
8531,,land_type_none
8532,,land_type_none
8533,,land_type_none
8534,,land_type_none
8535,,land_type_none
8536,,land_type_none
8537,,land_type_none
8538,,land_type_none
8539,,land_type_none
8540,,land_type_none
8541,,land_type_none
8542,,land_type_none
8543,,land_type_none
8544,,land_type_none
8545,,land_type_none
8546,,land_type_none
8547,,land_type_none
8548,,land_type_none
8549,,land_type_none
8550,,land_type_none
8551,,land_type_none
8552,,land_type_none
8553,,land_type_none
8554,,land_type_none
8555,,land_type_none
8556,,land_type_none
8557,,land_type_none
8558,,land_type_none
8559,,land_type_none
8560,,land_type_none
8561,,land_type_none
8562,,land_type_none
8563,,land_type_none
8566,,land_type_none
8567,,land_type_none
8568,,land_type_none
8569,,land_type_none
8570,,land_type_none
8571,,land_type_none
8574,,land_type_none
8575,,land_type_none
8576,,land_type_none
8577,,land_type_none
8578,,land_type_none
8579,,land_type_none
8580,,land_type_none
8581,,land_type_none
8582,,land_type_none
8583,,land_type_none
8891,,land_type_none
8892,,land_type_none
8893,,land_type_none
8894,,land_type_none
